Formation tops,Depth              (m TVD MSL),Depth         (m TVD RKB),Depth             (m MD RKB)
Seabed,307,338,338
URU (Upper regional unconformity),457,488,488
Skade,741,772,772
"Hordaland ""Green Clay"" ",1113,1144,1144
Balder,1411,1442,1442
Sele,1499,1530,1530
Lista,1549,1580,1580
Hardraade,1667,1698,1698
Svarte,1710,1741,1741
Undefined,1747,1778,1778
Sola,1806,1837,1837
Åsgard,1830,1861,1861
BCU,1861,1892,1892
Draupne,1861,1892,1892
Heather C ,1915,1946,1946
Sognefjord,1926,1957,1957
Heather B ,2073,2104,2104
Fensfjord,2109,2140,2140
Krossfjord,2247,2278,2278
Heather,2350,2382,2382
Tarbert,2393,2424,2424
Ness,2404,2435,2435
Etive,2456,2487,2487
Drake 2,2479,2510,2510
Drake 1,2532,2563,2563
Drake Intra Marine Shale Acoustic marker,2553,2585,2585
Cook 4,2607,2638,2638
Cook 3,2607,2638,2638
Cook 2,2611,2642,2642
Cook 1,2654,2685,2685
Burton,2664,2695,2695
Johansen Fm. 4,2671,2702,2702
Johansen Fm. 3,2710,2741,2741
Johansen Fm. 2,2721,2752,2752
Johansen Fm. 1,2735,2766,2766
Amundsen,2787,2818,2818
Eriksson,2801,2832,2832
TD,2884,2915,2915
,,,
