WELL,PICKS,OBS,QLF,DEPTH,TVD,TVDSS,TWT,DIP,AZI,EASTING,NORTHING,INTRP
NO 15/9-F-11 A,HORDALAND GP. Top,1,NL,2600.0,1064.66,-1009.76,,,,434977.0,6478560.6,STAT
NO 15/9-F-11 A,Ty Fm. Top,1,,2624.0,2483.37,-2428.47,,,,434731.3,6478616.7,STAT
NO 15/9-F-11 A,Ekofisk Fm. Top,1,,2794.5,2609.18,-2554.28,2407.12,,,434823.5,6478683.9,STAT
NO 15/9-F-11 A,Hod Fm. Top,1,,3118.0,2743.01,-2688.11,2466.3,,,435029.6,6478887.5,STAT
NO 15/9-F-11 A,Draupne Fm. Top,1,,3525.8,2945.79,-2890.89,2555.95,,,435252.1,6479150.9,STAT
NO 15/9-F-11 A,Heather Fm. Top,1,,3574.9,2983.1,-2928.2,2582.93,,,435272.0,6479175.8,STAT
NO 15/9-F-11 A,Heather Fm. Sand VOLVE Top,1,,3585.2,2990.99,-2936.09,2588.64,,,435276.2,6479180.9,STAT
NO 15/9-F-11 A,Hugin Fm. VOLVE Top,1,,3594.6,2998.19,-2943.29,2593.85,,,435280.0,6479185.6,STAT
NO 15/9-F-11 A,Sleipner Fm. Top,1,,3702.0,3080.49,-3025.59,,,,435323.4,6479239.3,STAT
